PartE: 
(61170, 'DEF  ', 82985, 'ABC  ')
(81425, 'DEF  ', 93599, 'ABC  ')
(74837, 'ABC  ', 92912, 'DEF  ')
(74837, 'ABC  ', 92912, 'DEF  ')
(92912, 'DEF  ', 74837, 'ABC  ')
(92912, 'DEF  ', 74837, 'ABC  ')
(46540, 'ABC  ', 34952, 'DEF  ')
(34952, 'DEF  ', 46540, 'ABC  ')
(61054, 'ABC  ', 34952, 'DEF  ')
(61054, 'ABC  ', 34952, 'DEF  ')
(21564, 'ABC  ', 34952, 'DEF  ')
(34952, 'DEF  ', 61054, 'ABC  ')
(34952, 'DEF  ', 61054, 'ABC  ')
(34952, 'DEF  ', 21564, 'ABC  ')
(15030, 'DEF  ', 70143, 'ABC  ')
(45588, 'DEF  ', 70143, 'ABC  ')
(70143, 'ABC  ', 15030, 'DEF  ')
(70143, 'ABC  ', 45588, 'DEF  ')
(70143, 'ABC  ', 15030, 'DEF  ')
(70143, 'ABC  ', 45588, 'DEF  ')
(15030, 'DEF  ', 70143, 'ABC  ')
(45588, 'DEF  ', 70143, 'ABC  ')
(45588, 'DEF  ', 70143, 'ABC  ')
(15030, 'DEF  ', 70143, 'ABC  ')
(70143, 'ABC  ', 45588, 'DEF  ')
(70143, 'ABC  ', 15030, 'DEF  ')
(82716, 'ABC  ', 66993, 'DEF  ')
(41149, 'ABC  ', 66993, 'DEF  ')
(66993, 'DEF  ', 82716, 'ABC  ')
(66993, 'DEF  ', 41149, 'ABC  ')
(66993, 'DEF  ', 18662, 'ABC  ')
(18662, 'ABC  ', 66993, 'DEF  ')
(74417, 'ABC  ', 21880, 'DEF  ')
(23152, 'ABC  ', 21880, 'DEF  ')
(21880, 'DEF  ', 74417, 'ABC  ')
(21880, 'DEF  ', 23152, 'ABC  ')
(21880, 'DEF  ', 11329, 'ABC  ')
(11329, 'ABC  ', 21880, 'DEF  ')
(51440, 'ABC  ', 53502, 'DEF  ')
(94258, 'ABC  ', 53502, 'DEF  ')
(53502, 'DEF  ', 51440, 'ABC  ')
(53502, 'DEF  ', 94258, 'ABC  ')
(94258, 'ABC  ', 53502, 'DEF  ')
(74417, 'ABC  ', 53502, 'DEF  ')
(53502, 'DEF  ', 94258, 'ABC  ')
(53502, 'DEF  ', 74417, 'ABC  ')
(53502, 'DEF  ', 51440, 'ABC  ')
(51440, 'ABC  ', 53502, 'DEF  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(99429, 'ABC  ', 37917, 'DEF  ')
(37917, 'DEF  ', 99429, 'ABC  ')
(83318, 'ABC  ', 68364, 'DEF  ')
(68364, 'DEF  ', 83318, 'ABC  ')
(68364, 'DEF  ', 83318, 'ABC  ')
(83318, 'ABC  ', 68364, 'DEF  ')
(52629, 'ABC  ', 79867, 'DEF  ')
(79867, 'DEF  ', 52629, 'ABC  ')
(52629, 'ABC  ', 79867, 'DEF  ')
(79867, 'DEF  ', 52629, 'ABC  ')
(90336, 'DEF  ', 14610, 'ABC  ')
(90336, 'DEF  ', 36220, 'ABC  ')
(14610, 'ABC  ', 90336, 'DEF  ')
(36220, 'ABC  ', 90336, 'DEF  ')
(36220, 'ABC  ', 90336, 'DEF  ')
(90336, 'DEF  ', 36220, 'ABC  ')
(90336, 'DEF  ', 75615, 'ABC  ')
(75615, 'ABC  ', 90336, 'DEF  ')
(22580, 'DEF  ', 50669, 'ABC  ')
(15854, 'DEF  ', 50669, 'ABC  ')
(49988, 'DEF  ', 50669, 'ABC  ')
(50669, 'ABC  ', 22580, 'DEF  ')
(50669, 'ABC  ', 15854, 'DEF  ')
(50669, 'ABC  ', 49988, 'DEF  ')
(50669, 'ABC  ', 69548, 'DEF  ')
(69548, 'DEF  ', 50669, 'ABC  ')
(26448, 'ABC  ', 36514, 'DEF  ')
(26448, 'ABC  ', 36514, 'DEF  ')
(23622, 'ABC  ', 36514, 'DEF  ')
(23622, 'ABC  ', 36514, 'DEF  ')
(88840, 'ABC  ', 36514, 'DEF  ')
(88840, 'ABC  ', 36514, 'DEF  ')
(36514, 'DEF  ', 26448, 'ABC  ')
(36514, 'DEF  ', 23622, 'ABC  ')
(36514, 'DEF  ', 88840, 'ABC  ')
(36514, 'DEF  ', 26448, 'ABC  ')
(36514, 'DEF  ', 23622, 'ABC  ')
(36514, 'DEF  ', 88840, 'ABC  ')
(36514, 'DEF  ', 51660, 'ABC  ')
(36514, 'DEF  ', 51660, 'ABC  ')
(36514, 'DEF  ', 51660, 'ABC  ')
(36514, 'DEF  ', 51660, 'ABC  ')
(51660, 'ABC  ', 36514, 'DEF  ')
(51660, 'ABC  ', 36514, 'DEF  ')
(51660, 'ABC  ', 36514, 'DEF  ')
(51660, 'ABC  ', 36514, 'DEF  ')
(86246, 'DEF  ', 48219, 'ABC  ')
(49966, 'DEF  ', 48219, 'ABC  ')
(48219, 'ABC  ', 86246, 'DEF  ')
(48219, 'ABC  ', 49966, 'DEF  ')
(49966, 'DEF  ', 48219, 'ABC  ')
(48219, 'ABC  ', 49966, 'DEF  ')
(92345, 'DEF  ', 50925, 'ABC  ')
(50925, 'ABC  ', 92345, 'DEF  ')
(50925, 'ABC  ', 34583, 'DEF  ')
(34583, 'DEF  ', 50925, 'ABC  ')
(34583, 'DEF  ', 50925, 'ABC  ')
(50925, 'ABC  ', 34583, 'DEF  ')
(50925, 'ABC  ', 92345, 'DEF  ')
(92345, 'DEF  ', 50925, 'ABC  ')
(25640, 'DEF  ', 24763, 'ABC  ')
(72068, 'DEF  ', 24763, 'ABC  ')
(15197, 'DEF  ', 24763, 'ABC  ')
(24763, 'ABC  ', 25640, 'DEF  ')
(24763, 'ABC  ', 72068, 'DEF  ')
(24763, 'ABC  ', 15197, 'DEF  ')
(15197, 'DEF  ', 24763, 'ABC  ')
(24763, 'ABC  ', 15197, 'DEF  ')
(24763, 'ABC  ', 72068, 'DEF  ')
(24763, 'ABC  ', 25640, 'DEF  ')
(72068, 'DEF  ', 24763, 'ABC  ')
(25640, 'DEF  ', 24763, 'ABC  ')
(37647, 'DEF  ', 86230, 'ABC  ')
(86230, 'ABC  ', 37647, 'DEF  ')
(37647, 'DEF  ', 86230, 'ABC  ')
(86230, 'ABC  ', 37647, 'DEF  ')
(75362, 'ABC  ', 35007, 'DEF  ')
(35007, 'DEF  ', 75362, 'ABC  ')
(35007, 'DEF  ', 58682, 'ABC  ')
(58682, 'ABC  ', 35007, 'DEF  ')
(46765, 'ABC  ', 63787, 'DEF  ')
(63787, 'DEF  ', 46765, 'ABC  ')
(46397, 'DEF  ', 48869, 'ABC  ')
(46397, 'DEF  ', 48869, 'ABC  ')
(48869, 'ABC  ', 46397, 'DEF  ')
(48869, 'ABC  ', 46397, 'DEF  ')
(10045, 'DEF  ', 20288, 'ABC  ')
(10045, 'DEF  ', 20288, 'ABC  ')
(98196, 'DEF  ', 20288, 'ABC  ')
(98196, 'DEF  ', 20288, 'ABC  ')
(52929, 'DEF  ', 20288, 'ABC  ')
(52929, 'DEF  ', 20288, 'ABC  ')
(20288, 'ABC  ', 10045, 'DEF  ')
(20288, 'ABC  ', 98196, 'DEF  ')
(20288, 'ABC  ', 52929, 'DEF  ')
(20288, 'ABC  ', 95011, 'DEF  ')
(20288, 'ABC  ', 10045, 'DEF  ')
(20288, 'ABC  ', 98196, 'DEF  ')
(20288, 'ABC  ', 52929, 'DEF  ')
(20288, 'ABC  ', 95011, 'DEF  ')
(95011, 'DEF  ', 20288, 'ABC  ')
(95011, 'DEF  ', 20288, 'ABC  ')
(95011, 'DEF  ', 20288, 'ABC  ')
(95011, 'DEF  ', 20288, 'ABC  ')
(65701, 'DEF  ', 20288, 'ABC  ')
(65701, 'DEF  ', 20288, 'ABC  ')
(10045, 'DEF  ', 20288, 'ABC  ')
(10045, 'DEF  ', 20288, 'ABC  ')
(20288, 'ABC  ', 95011, 'DEF  ')
(20288, 'ABC  ', 65701, 'DEF  ')
(20288, 'ABC  ', 10045, 'DEF  ')
(20288, 'ABC  ', 98196, 'DEF  ')
(20288, 'ABC  ', 52929, 'DEF  ')
(20288, 'ABC  ', 66236, 'DEF  ')
(20288, 'ABC  ', 55828, 'DEF  ')
(20288, 'ABC  ', 95011, 'DEF  ')
(20288, 'ABC  ', 65701, 'DEF  ')
(20288, 'ABC  ', 10045, 'DEF  ')
(20288, 'ABC  ', 98196, 'DEF  ')
(20288, 'ABC  ', 52929, 'DEF  ')
(20288, 'ABC  ', 66236, 'DEF  ')
(20288, 'ABC  ', 55828, 'DEF  ')
(98196, 'DEF  ', 20288, 'ABC  ')
(98196, 'DEF  ', 20288, 'ABC  ')
(52929, 'DEF  ', 20288, 'ABC  ')
(52929, 'DEF  ', 20288, 'ABC  ')
(66236, 'DEF  ', 20288, 'ABC  ')
(66236, 'DEF  ', 20288, 'ABC  ')
(55828, 'DEF  ', 20288, 'ABC  ')
(55828, 'DEF  ', 20288, 'ABC  ')
(63030, 'DEF  ', 76971, 'ABC  ')
(76971, 'ABC  ', 63030, 'DEF  ')
(39025, 'DEF  ', 83408, 'ABC  ')
(83408, 'ABC  ', 39025, 'DEF  ')
(83408, 'ABC  ', 92724, 'DEF  ')
(83408, 'ABC  ', 96694, 'DEF  ')
(83408, 'ABC  ', 46672, 'DEF  ')
(92724, 'DEF  ', 83408, 'ABC  ')
(96694, 'DEF  ', 83408, 'ABC  ')
(46672, 'DEF  ', 83408, 'ABC  ')
(80036, 'ABC  ', 17840, 'DEF  ')
(17840, 'DEF  ', 80036, 'ABC  ')
(17840, 'DEF  ', 78928, 'ABC  ')
(78928, 'ABC  ', 17840, 'DEF  ')
(84380, 'ABC  ', 35546, 'DEF  ')
(78928, 'ABC  ', 35546, 'DEF  ')
(35546, 'DEF  ', 84380, 'ABC  ')
(35546, 'DEF  ', 78928, 'ABC  ')
(35546, 'DEF  ', 37702, 'ABC  ')
(35546, 'DEF  ', 37702, 'ABC  ')
(35546, 'DEF  ', 73661, 'ABC  ')
(35546, 'DEF  ', 58199, 'ABC  ')
(37702, 'ABC  ', 35546, 'DEF  ')
(37702, 'ABC  ', 35546, 'DEF  ')
(73661, 'ABC  ', 35546, 'DEF  ')
(58199, 'ABC  ', 35546, 'DEF  ')
(10508, 'ABC  ', 18909, 'DEF  ')
(19312, 'ABC  ', 18909, 'DEF  ')
(19312, 'ABC  ', 18909, 'DEF  ')
(19208, 'ABC  ', 18909, 'DEF  ')
(18909, 'DEF  ', 10508, 'ABC  ')
(18909, 'DEF  ', 19312, 'ABC  ')
(18909, 'DEF  ', 19312, 'ABC  ')
(18909, 'DEF  ', 19208, 'ABC  ')
(17840, 'DEF  ', 68627, 'ABC  ')
(17840, 'DEF  ', 53106, 'ABC  ')
(17840, 'DEF  ', 19208, 'ABC  ')
(68627, 'ABC  ', 17840, 'DEF  ')
(53106, 'ABC  ', 17840, 'DEF  ')
(19208, 'ABC  ', 17840, 'DEF  ')
(79594, 'ABC  ', 18909, 'DEF  ')
(18909, 'DEF  ', 79594, 'ABC  ')
(18909, 'DEF  ', 10508, 'ABC  ')
(10508, 'ABC  ', 18909, 'DEF  ')
(35546, 'DEF  ', 73661, 'ABC  ')
(73661, 'ABC  ', 35546, 'DEF  ')
(23574, 'ABC  ', 61036, 'DEF  ')
(35900, 'ABC  ', 61036, 'DEF  ')
(31906, 'ABC  ', 61036, 'DEF  ')
(14912, 'ABC  ', 61036, 'DEF  ')
(61036, 'DEF  ', 23574, 'ABC  ')
(61036, 'DEF  ', 35900, 'ABC  ')
(61036, 'DEF  ', 31906, 'ABC  ')
(61036, 'DEF  ', 14912, 'ABC  ')
(59889, 'ABC  ', 68968, 'DEF  ')
(75161, 'ABC  ', 68968, 'DEF  ')
(10862, 'ABC  ', 68968, 'DEF  ')
(10862, 'ABC  ', 68968, 'DEF  ')
(68968, 'DEF  ', 59889, 'ABC  ')
(68968, 'DEF  ', 75161, 'ABC  ')
(68968, 'DEF  ', 10862, 'ABC  ')
(68968, 'DEF  ', 10862, 'ABC  ')
(68968, 'DEF  ', 53470, 'ABC  ')
(68968, 'DEF  ', 53470, 'ABC  ')
(53470, 'ABC  ', 68968, 'DEF  ')
(53470, 'ABC  ', 68968, 'DEF  ')
(12109, 'DEF  ', 70538, 'ABC  ')
(70538, 'ABC  ', 12109, 'DEF  ')
(70538, 'ABC  ', 69926, 'DEF  ')
(70538, 'ABC  ', 86407, 'DEF  ')
(69926, 'DEF  ', 70538, 'ABC  ')
(86407, 'DEF  ', 70538, 'ABC  ')
(23956, 'ABC  ', 11439, 'DEF  ')
(23956, 'DEF  ', 11439, 'ABC  ')
(23956, 'DEF  ', 52639, 'ABC  ')
(11439, 'ABC  ', 23956, 'DEF  ')
(52639, 'ABC  ', 23956, 'DEF  ')
(52639, 'ABC  ', 11439, 'DEF  ')
(11439, 'DEF  ', 23956, 'ABC  ')
(11439, 'DEF  ', 52639, 'ABC  ')
(23956, 'ABC  ', 11439, 'DEF  ')
(11439, 'ABC  ', 23956, 'DEF  ')
(11439, 'DEF  ', 23956, 'ABC  ')
(23956, 'DEF  ', 11439, 'ABC  ')
(45113, 'ABC  ', 98249, 'DEF  ')
(40773, 'ABC  ', 98249, 'DEF  ')
(75959, 'ABC  ', 98249, 'DEF  ')
(98249, 'DEF  ', 45113, 'ABC  ')
(98249, 'DEF  ', 40773, 'ABC  ')
(98249, 'DEF  ', 75959, 'ABC  ')
(98249, 'DEF  ', 66090, 'ABC  ')
(66090, 'ABC  ', 98249, 'DEF  ')
(98249, 'DEF  ', 40773, 'ABC  ')
(40773, 'ABC  ', 98249, 'DEF  ')
(59731, 'DEF  ', 62033, 'ABC  ')
(62033, 'ABC  ', 59731, 'DEF  ')
(85344, 'ABC  ', 91747, 'DEF  ')
(85344, 'ABC  ', 91747, 'DEF  ')
(85344, 'ABC  ', 69262, 'DEF  ')
(85344, 'ABC  ', 69262, 'DEF  ')
(91747, 'DEF  ', 85344, 'ABC  ')
(91747, 'DEF  ', 85344, 'ABC  ')
(69262, 'DEF  ', 85344, 'ABC  ')
(69262, 'DEF  ', 85344, 'ABC  ')
(69262, 'DEF  ', 85344, 'ABC  ')
(85344, 'ABC  ', 69262, 'DEF  ')
(85344, 'ABC  ', 69262, 'DEF  ')
(69262, 'DEF  ', 85344, 'ABC  ')
(56191, 'DEF  ', 70637, 'ABC  ')
(71052, 'DEF  ', 70637, 'ABC  ')
(36950, 'DEF  ', 70637, 'ABC  ')
(71052, 'DEF  ', 70637, 'ABC  ')
(70637, 'ABC  ', 56191, 'DEF  ')
(70637, 'ABC  ', 71052, 'DEF  ')
(70637, 'ABC  ', 36950, 'DEF  ')
(70637, 'ABC  ', 71052, 'DEF  ')
(70637, 'ABC  ', 43756, 'DEF  ')
(70637, 'ABC  ', 86406, 'DEF  ')
(43756, 'DEF  ', 70637, 'ABC  ')
(86406, 'DEF  ', 70637, 'ABC  ')
(70637, 'ABC  ', 71052, 'DEF  ')
(70637, 'ABC  ', 71052, 'DEF  ')
(71052, 'DEF  ', 70637, 'ABC  ')
(71052, 'DEF  ', 70637, 'ABC  ')
(55348, 'ABC  ', 22684, 'DEF  ')
(55348, 'ABC  ', 75084, 'DEF  ')
(41038, 'ABC  ', 22684, 'DEF  ')
(41038, 'ABC  ', 75084, 'DEF  ')
(22684, 'ABC  ', 75084, 'DEF  ')
(55348, 'ABC  ', 22684, 'DEF  ')
(55348, 'ABC  ', 75084, 'DEF  ')
(75084, 'ABC  ', 22684, 'DEF  ')
(22684, 'DEF  ', 55348, 'ABC  ')
(22684, 'DEF  ', 41038, 'ABC  ')
(22684, 'DEF  ', 55348, 'ABC  ')
(22684, 'DEF  ', 75084, 'ABC  ')
(22684, 'DEF  ', 49079, 'ABC  ')
(75084, 'DEF  ', 55348, 'ABC  ')
(75084, 'DEF  ', 41038, 'ABC  ')
(75084, 'DEF  ', 22684, 'ABC  ')
(75084, 'DEF  ', 55348, 'ABC  ')
(75084, 'DEF  ', 49079, 'ABC  ')
(49079, 'ABC  ', 22684, 'DEF  ')
(49079, 'ABC  ', 75084, 'DEF  ')
(75084, 'ABC  ', 22684, 'DEF  ')
(22684, 'DEF  ', 75084, 'ABC  ')
(75084, 'DEF  ', 22684, 'ABC  ')
(22684, 'ABC  ', 75084, 'DEF  ')
(98784, 'DEF  ', 52082, 'ABC  ')
(85857, 'DEF  ', 52082, 'ABC  ')
(73398, 'DEF  ', 52082, 'ABC  ')
(52082, 'ABC  ', 98784, 'DEF  ')
(52082, 'ABC  ', 85857, 'DEF  ')
(52082, 'ABC  ', 73398, 'DEF  ')
(52082, 'ABC  ', 98784, 'DEF  ')
(98784, 'DEF  ', 52082, 'ABC  ')
(87889, 'ABC  ', 48775, 'DEF  ')
(48775, 'DEF  ', 87889, 'ABC  ')
(48775, 'DEF  ', 87889, 'ABC  ')
(87889, 'ABC  ', 48775, 'DEF  ')
(48775, 'DEF  ', 87889, 'ABC  ')
(87889, 'ABC  ', 48775, 'DEF  ')
(76395, 'ABC  ', 38306, 'DEF  ')
(38306, 'DEF  ', 76395, 'ABC  ')
(38306, 'DEF  ', 27966, 'ABC  ')
(27966, 'ABC  ', 38306, 'DEF  ')
(23267, 'ABC  ', 50663, 'DEF  ')
(23267, 'ABC  ', 73317, 'DEF  ')
(23267, 'ABC  ', 58522, 'DEF  ')
(23267, 'ABC  ', 90376, 'DEF  ')
(23267, 'ABC  ', 87760, 'DEF  ')
(23267, 'ABC  ', 67190, 'DEF  ')
(23267, 'ABC  ', 50663, 'DEF  ')
(50663, 'DEF  ', 23267, 'ABC  ')
(73317, 'DEF  ', 23267, 'ABC  ')
(58522, 'DEF  ', 23267, 'ABC  ')
(90376, 'DEF  ', 23267, 'ABC  ')
(87760, 'DEF  ', 23267, 'ABC  ')
(67190, 'DEF  ', 23267, 'ABC  ')
(50663, 'DEF  ', 23267, 'ABC  ')
(73317, 'DEF  ', 23267, 'ABC  ')
(23267, 'ABC  ', 73317, 'DEF  ')
(32813, 'DEF  ', 76095, 'ABC  ')
(28016, 'DEF  ', 76095, 'ABC  ')
(76095, 'ABC  ', 32813, 'DEF  ')
(76095, 'ABC  ', 28016, 'DEF  ')
(32813, 'DEF  ', 76095, 'ABC  ')
(76095, 'ABC  ', 32813, 'DEF  ')
(76095, 'ABC  ', 28016, 'DEF  ')
(28016, 'DEF  ', 76095, 'ABC  ')
(14821, 'ABC  ', 25874, 'DEF  ')
(25874, 'DEF  ', 14821, 'ABC  ')
(53884, 'DEF  ', 11830, 'ABC  ')
(31725, 'DEF  ', 11830, 'ABC  ')
(11830, 'ABC  ', 53884, 'DEF  ')
(11830, 'ABC  ', 31725, 'DEF  ')
(11830, 'ABC  ', 21915, 'DEF  ')
(11830, 'ABC  ', 15809, 'DEF  ')
(11830, 'ABC  ', 12617, 'DEF  ')
(11830, 'ABC  ', 27972, 'DEF  ')
(21915, 'DEF  ', 11830, 'ABC  ')
(15809, 'DEF  ', 11830, 'ABC  ')
(12617, 'DEF  ', 11830, 'ABC  ')
(27972, 'DEF  ', 11830, 'ABC  ')
(21915, 'DEF  ', 11830, 'ABC  ')
(15809, 'DEF  ', 11830, 'ABC  ')
(11830, 'ABC  ', 21915, 'DEF  ')
(11830, 'ABC  ', 15809, 'DEF  ')
(11830, 'ABC  ', 31725, 'DEF  ')
(31725, 'DEF  ', 11830, 'ABC  ')
(82588, 'ABC  ', 10882, 'DEF  ')
(66819, 'ABC  ', 10882, 'DEF  ')
(10882, 'DEF  ', 82588, 'ABC  ')
(10882, 'DEF  ', 66819, 'ABC  ')
(10882, 'DEF  ', 53991, 'ABC  ')
(10882, 'DEF  ', 53991, 'ABC  ')
(10882, 'DEF  ', 86004, 'ABC  ')
(53991, 'ABC  ', 10882, 'DEF  ')
(53991, 'ABC  ', 10882, 'DEF  ')
(86004, 'ABC  ', 10882, 'DEF  ')
(10882, 'DEF  ', 86004, 'ABC  ')
(86004, 'ABC  ', 10882, 'DEF  ')
(27287, 'DEF  ', 45825, 'ABC  ')
(27287, 'DEF  ', 49618, 'ABC  ')
(45825, 'ABC  ', 27287, 'DEF  ')
(49618, 'ABC  ', 27287, 'DEF  ')
(28548, 'ABC  ', 27287, 'DEF  ')
(27287, 'DEF  ', 28548, 'ABC  ')
(27287, 'DEF  ', 49618, 'ABC  ')
(49618, 'ABC  ', 27287, 'DEF  ')
(87249, 'ABC  ', 16623, 'DEF  ')
(60830, 'ABC  ', 16623, 'DEF  ')
(16623, 'DEF  ', 87249, 'ABC  ')
(16623, 'DEF  ', 60830, 'ABC  ')
(16623, 'DEF  ', 87249, 'ABC  ')
(87249, 'ABC  ', 16623, 'DEF  ')
(11955, 'ABC  ', 48912, 'DEF  ')
(48912, 'DEF  ', 11955, 'ABC  ')
(48912, 'DEF  ', 68024, 'ABC  ')
(68024, 'ABC  ', 48912, 'DEF  ')
(73015, 'DEF  ', 93590, 'ABC  ')
(93590, 'ABC  ', 73015, 'DEF  ')
(93590, 'ABC  ', 13933, 'DEF  ')
(93590, 'ABC  ', 25805, 'DEF  ')
