PartE: 
(43756, 'DEF  ', 70637, 'ABC  ')
(53586, 'DEF  ', 44939, 'ABC  ')
(52639, 'ABC  ', 11439, 'DEF  ')
(62373, 'ABC  ', 99653, 'DEF  ')
(55140, 'ABC  ', 96999, 'DEF  ')
(12617, 'DEF  ', 11830, 'ABC  ')
(87289, 'ABC  ', 19971, 'DEF  ')
(80174, 'DEF  ', 50378, 'ABC  ')
(48408, 'DEF  ', 51810, 'ABC  ')
(92724, 'DEF  ', 83408, 'ABC  ')
(53700, 'DEF  ', 80230, 'ABC  ')
(94966, 'ABC  ', 86488, 'DEF  ')
(50669, 'ABC  ', 49988, 'DEF  ')
(60099, 'DEF  ', 94966, 'ABC  ')
(37206, 'DEF  ', 22484, 'ABC  ')
(68640, 'DEF  ', 57341, 'ABC  ')
(71538, 'DEF  ', 40342, 'ABC  ')
(50765, 'DEF  ', 37457, 'ABC  ')
(67752, 'ABC  ', 13448, 'DEF  ')
(58269, 'DEF  ', 19608, 'ABC  ')
(47739, 'DEF  ', 13032, 'ABC  ')
(63255, 'ABC  ', 47576, 'DEF  ')
(18250, 'DEF  ', 60725, 'ABC  ')
(70053, 'DEF  ', 54569, 'ABC  ')
(85054, 'ABC  ', 74107, 'DEF  ')
(36825, 'DEF  ', 44335, 'ABC  ')
(18553, 'ABC  ', 87936, 'DEF  ')
(97325, 'DEF  ', 54888, 'ABC  ')
(97863, 'ABC  ', 57625, 'DEF  ')
(29941, 'DEF  ', 18553, 'ABC  ')
(72724, 'DEF  ', 72614, 'ABC  ')
(73672, 'ABC  ', 75423, 'DEF  ')
(58067, 'ABC  ', 36037, 'DEF  ')
(20407, 'DEF  ', 99147, 'ABC  ')
(70143, 'ABC  ', 45588, 'DEF  ')
(27394, 'DEF  ', 59288, 'ABC  ')
(22134, 'ABC  ', 15626, 'DEF  ')
(71901, 'ABC  ', 81695, 'DEF  ')
(68054, 'DEF  ', 51810, 'ABC  ')
(99653, 'DEF  ', 31165, 'ABC  ')
(79967, 'DEF  ', 75066, 'ABC  ')
(55231, 'DEF  ', 44227, 'ABC  ')
(74527, 'DEF  ', 71384, 'ABC  ')
(43317, 'DEF  ', 72163, 'ABC  ')
(74174, 'DEF  ', 66820, 'ABC  ')
(29269, 'ABC  ', 10874, 'DEF  ')
(75024, 'DEF  ', 53820, 'ABC  ')
(93590, 'ABC  ', 65867, 'DEF  ')
(87716, 'DEF  ', 98700, 'ABC  ')
(65055, 'ABC  ', 46429, 'DEF  ')
(84353, 'DEF  ', 44782, 'ABC  ')
(96595, 'ABC  ', 23459, 'DEF  ')
(27096, 'ABC  ', 24086, 'DEF  ')
(26090, 'DEF  ', 72735, 'ABC  ')
(68085, 'ABC  ', 32755, 'DEF  ')
(79967, 'DEF  ', 82461, 'ABC  ')
(45642, 'DEF  ', 61742, 'ABC  ')
(18977, 'ABC  ', 27222, 'DEF  ')
(70538, 'ABC  ', 86407, 'DEF  ')
(41818, 'DEF  ', 52018, 'ABC  ')
(97863, 'ABC  ', 78286, 'DEF  ')
(15549, 'ABC  ', 56207, 'DEF  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(67757, 'DEF  ', 94336, 'ABC  ')
(99320, 'ABC  ', 22838, 'DEF  ')
(66819, 'ABC  ', 10882, 'DEF  ')
(47183, 'ABC  ', 79967, 'DEF  ')
(53428, 'ABC  ', 32307, 'DEF  ')
(55364, 'ABC  ', 21403, 'DEF  ')
(26453, 'DEF  ', 72388, 'ABC  ')
(34807, 'ABC  ', 92219, 'DEF  ')
(22580, 'DEF  ', 50669, 'ABC  ')
(85274, 'ABC  ', 66670, 'DEF  ')
(29525, 'ABC  ', 65085, 'DEF  ')
(66948, 'DEF  ', 65055, 'ABC  ')
(51810, 'ABC  ', 68054, 'DEF  ')
(84311, 'ABC  ', 86996, 'DEF  ')
(82716, 'ABC  ', 66993, 'DEF  ')
(65572, 'DEF  ', 90899, 'ABC  ')
(32851, 'DEF  ', 55364, 'ABC  ')
(23004, 'ABC  ', 21881, 'DEF  ')
(25805, 'DEF  ', 93590, 'ABC  ')
(81522, 'ABC  ', 68733, 'DEF  ')
(29212, 'DEF  ', 10938, 'ABC  ')
(70053, 'DEF  ', 76667, 'ABC  ')
(73601, 'ABC  ', 26024, 'DEF  ')
(80995, 'DEF  ', 89604, 'ABC  ')
(26665, 'DEF  ', 51747, 'ABC  ')
(22684, 'ABC  ', 75084, 'DEF  ')
(41784, 'ABC  ', 28068, 'DEF  ')
(30182, 'ABC  ', 36037, 'DEF  ')
(40065, 'ABC  ', 13779, 'DEF  ')
(62125, 'DEF  ', 42901, 'ABC  ')
(68968, 'DEF  ', 75161, 'ABC  ')
(50378, 'ABC  ', 54825, 'DEF  ')
(90804, 'DEF  ', 56508, 'ABC  ')
(79867, 'DEF  ', 52629, 'ABC  ')
(30996, 'DEF  ', 67252, 'ABC  ')
(18909, 'DEF  ', 79594, 'ABC  ')
(37647, 'DEF  ', 86230, 'ABC  ')
(93977, 'DEF  ', 62904, 'ABC  ')
(19813, 'ABC  ', 72055, 'DEF  ')
(69690, 'DEF  ', 13123, 'ABC  ')
(52018, 'DEF  ', 24524, 'ABC  ')
(24631, 'ABC  ', 32755, 'DEF  ')
(22684, 'DEF  ', 41038, 'ABC  ')
(44281, 'DEF  ', 46346, 'ABC  ')
(32755, 'DEF  ', 77150, 'ABC  ')
(57467, 'ABC  ', 19813, 'DEF  ')
(29855, 'DEF  ', 92435, 'ABC  ')
(10287, 'DEF  ', 27057, 'ABC  ')
(59461, 'ABC  ', 74740, 'DEF  ')
(95658, 'ABC  ', 37048, 'DEF  ')
(96231, 'ABC  ', 27058, 'DEF  ')
(89799, 'ABC  ', 75718, 'DEF  ')
(36617, 'DEF  ', 68366, 'ABC  ')
(74537, 'ABC  ', 42652, 'DEF  ')
(36756, 'DEF  ', 55364, 'ABC  ')
(89000, 'ABC  ', 32755, 'DEF  ')
(15417, 'DEF  ', 52018, 'ABC  ')
(72388, 'ABC  ', 26453, 'DEF  ')
(63030, 'DEF  ', 76971, 'ABC  ')
(82294, 'DEF  ', 39088, 'ABC  ')
(67252, 'ABC  ', 73866, 'DEF  ')
(20288, 'ABC  ', 98196, 'DEF  ')
(56625, 'DEF  ', 66670, 'ABC  ')
(49079, 'ABC  ', 75084, 'DEF  ')
(69262, 'DEF  ', 85344, 'ABC  ')
(19208, 'ABC  ', 18909, 'DEF  ')
(97582, 'ABC  ', 36037, 'DEF  ')
(60825, 'DEF  ', 27535, 'ABC  ')
(99320, 'ABC  ', 74595, 'DEF  ')
(27394, 'DEF  ', 46712, 'ABC  ')
(88384, 'DEF  ', 94915, 'ABC  ')
(40817, 'ABC  ', 39178, 'DEF  ')
(23267, 'ABC  ', 73317, 'DEF  ')
(49415, 'ABC  ', 15626, 'DEF  ')
(87889, 'ABC  ', 48775, 'DEF  ')
(98249, 'DEF  ', 75959, 'ABC  ')
(11919, 'DEF  ', 52818, 'ABC  ')
(70975, 'ABC  ', 60070, 'DEF  ')
(27287, 'DEF  ', 45825, 'ABC  ')
(69548, 'DEF  ', 50669, 'ABC  ')
(29214, 'ABC  ', 88384, 'DEF  ')
(74628, 'DEF  ', 65289, 'ABC  ')
(44782, 'ABC  ', 84353, 'DEF  ')
(44939, 'DEF  ', 74356, 'ABC  ')
(28947, 'ABC  ', 19172, 'DEF  ')
(61742, 'ABC  ', 63004, 'DEF  ')
(81695, 'DEF  ', 71901, 'ABC  ')
(50663, 'DEF  ', 23267, 'ABC  ')
(34712, 'ABC  ', 83350, 'DEF  ')
(10616, 'DEF  ', 90743, 'ABC  ')
(21880, 'DEF  ', 74417, 'ABC  ')
(10045, 'DEF  ', 20288, 'ABC  ')
(44939, 'ABC  ', 53586, 'DEF  ')
(73601, 'ABC  ', 61061, 'DEF  ')
(82232, 'ABC  ', 76252, 'DEF  ')
(11439, 'DEF  ', 97206, 'ABC  ')
(51747, 'ABC  ', 20062, 'DEF  ')
(49966, 'DEF  ', 48219, 'ABC  ')
(94612, 'ABC  ', 54825, 'DEF  ')
(49830, 'DEF  ', 67252, 'ABC  ')
(36037, 'DEF  ', 23582, 'ABC  ')
(52018, 'ABC  ', 41818, 'DEF  ')
(97206, 'DEF  ', 11439, 'ABC  ')
(75358, 'DEF  ', 12745, 'ABC  ')
(86488, 'DEF  ', 11627, 'ABC  ')
(72055, 'DEF  ', 91564, 'ABC  ')
(37812, 'ABC  ', 65085, 'DEF  ')
(99699, 'DEF  ', 91536, 'ABC  ')
(11280, 'ABC  ', 76252, 'DEF  ')
(91643, 'ABC  ', 76252, 'DEF  ')
(68366, 'ABC  ', 36617, 'DEF  ')
(32755, 'DEF  ', 89000, 'ABC  ')
(15626, 'DEF  ', 60378, 'ABC  ')
(32755, 'DEF  ', 24631, 'ABC  ')
(11830, 'ABC  ', 53884, 'DEF  ')
(24301, 'DEF  ', 69433, 'ABC  ')
(60825, 'DEF  ', 90472, 'ABC  ')
(56191, 'DEF  ', 70637, 'ABC  ')
(58269, 'DEF  ', 59461, 'ABC  ')
(85535, 'ABC  ', 14216, 'DEF  ')
(54504, 'DEF  ', 24686, 'ABC  ')
(32755, 'DEF  ', 68085, 'ABC  ')
(98471, 'ABC  ', 59055, 'DEF  ')
(86004, 'ABC  ', 10882, 'DEF  ')
(72724, 'ABC  ', 26153, 'DEF  ')
(19971, 'DEF  ', 87289, 'ABC  ')
(27096, 'ABC  ', 93977, 'DEF  ')
(34805, 'ABC  ', 10300, 'DEF  ')
(51810, 'ABC  ', 45042, 'DEF  ')
(92194, 'DEF  ', 52018, 'ABC  ')
(89916, 'ABC  ', 66058, 'DEF  ')
(73601, 'ABC  ', 63829, 'DEF  ')
(95411, 'ABC  ', 75718, 'DEF  ')
(54569, 'ABC  ', 41908, 'DEF  ')
(95698, 'ABC  ', 13208, 'DEF  ')
(80456, 'DEF  ', 60725, 'ABC  ')
(96190, 'DEF  ', 90743, 'ABC  ')
(44165, 'ABC  ', 32482, 'DEF  ')
(13476, 'ABC  ', 55162, 'DEF  ')
(18759, 'ABC  ', 58057, 'DEF  ')
(58269, 'ABC  ', 74740, 'DEF  ')
(60825, 'DEF  ', 13529, 'ABC  ')
(36824, 'DEF  ', 63383, 'ABC  ')
(20288, 'ABC  ', 55828, 'DEF  ')
(81522, 'ABC  ', 15814, 'DEF  ')
(94336, 'ABC  ', 67757, 'DEF  ')
(85611, 'ABC  ', 98980, 'DEF  ')
(99438, 'DEF  ', 54499, 'ABC  ')
(58057, 'DEF  ', 99765, 'ABC  ')
(89262, 'ABC  ', 91751, 'DEF  ')
(60378, 'ABC  ', 15626, 'DEF  ')
(57467, 'ABC  ', 72055, 'DEF  ')
(68968, 'DEF  ', 59889, 'ABC  ')
(36420, 'DEF  ', 69615, 'ABC  ')
(14216, 'DEF  ', 62664, 'ABC  ')
(25949, 'DEF  ', 76562, 'ABC  ')
(40065, 'ABC  ', 75239, 'DEF  ')
(46540, 'ABC  ', 34952, 'DEF  ')
(76514, 'ABC  ', 46896, 'DEF  ')
(52018, 'DEF  ', 17462, 'ABC  ')
(92079, 'ABC  ', 28947, 'DEF  ')
(36950, 'DEF  ', 70637, 'ABC  ')
(65129, 'ABC  ', 20288, 'DEF  ')
(36037, 'DEF  ', 74902, 'ABC  ')
(31437, 'DEF  ', 53186, 'ABC  ')
(73661, 'ABC  ', 35546, 'DEF  ')
(43543, 'ABC  ', 66551, 'DEF  ')
(86407, 'DEF  ', 70538, 'ABC  ')
(75242, 'DEF  ', 32804, 'ABC  ')
(43508, 'DEF  ', 43067, 'ABC  ')
(76667, 'ABC  ', 70053, 'DEF  ')
(10753, 'ABC  ', 19318, 'DEF  ')
(80160, 'ABC  ', 10300, 'DEF  ')
(98249, 'DEF  ', 40773, 'ABC  ')
(32755, 'DEF  ', 26574, 'ABC  ')
(62240, 'DEF  ', 55364, 'ABC  ')
(36420, 'DEF  ', 29162, 'ABC  ')
(24686, 'ABC  ', 66058, 'DEF  ')
(85674, 'DEF  ', 89604, 'ABC  ')
(65867, 'DEF  ', 93590, 'ABC  ')
(12561, 'ABC  ', 80785, 'DEF  ')
(99653, 'DEF  ', 90041, 'ABC  ')
(42879, 'ABC  ', 25243, 'DEF  ')
(27893, 'DEF  ', 83574, 'ABC  ')
(76817, 'DEF  ', 55561, 'ABC  ')
(13795, 'ABC  ', 36037, 'DEF  ')
(55555, 'DEF  ', 66961, 'ABC  ')
(48948, 'ABC  ', 61585, 'DEF  ')
(35787, 'ABC  ', 53192, 'DEF  ')
(54411, 'ABC  ', 62740, 'DEF  ')
(63383, 'ABC  ', 36824, 'DEF  ')
(41489, 'DEF  ', 17373, 'ABC  ')
(39764, 'ABC  ', 60070, 'DEF  ')
(57150, 'ABC  ', 26090, 'DEF  ')
(14776, 'DEF  ', 57341, 'ABC  ')
(23267, 'ABC  ', 90376, 'DEF  ')
(13829, 'ABC  ', 53192, 'DEF  ')
(28565, 'DEF  ', 71848, 'ABC  ')
(15030, 'DEF  ', 70143, 'ABC  ')
(24310, 'DEF  ', 96560, 'ABC  ')
(11159, 'ABC  ', 51162, 'DEF  ')
(24126, 'DEF  ', 59876, 'ABC  ')
(18553, 'DEF  ', 41543, 'ABC  ')
(83350, 'DEF  ', 51682, 'ABC  ')
(48912, 'DEF  ', 68024, 'ABC  ')
(97019, 'DEF  ', 71905, 'ABC  ')
(87716, 'DEF  ', 28049, 'ABC  ')
(83408, 'ABC  ', 92724, 'DEF  ')
(68024, 'ABC  ', 48912, 'DEF  ')
(65930, 'DEF  ', 55364, 'ABC  ')
(39726, 'ABC  ', 35243, 'DEF  ')
(89633, 'DEF  ', 59461, 'ABC  ')
(67544, 'ABC  ', 45420, 'DEF  ')
(63190, 'DEF  ', 28117, 'ABC  ')
(24301, 'DEF  ', 84314, 'ABC  ')
(63603, 'DEF  ', 42879, 'ABC  ')
(27725, 'ABC  ', 96190, 'DEF  ')
(57572, 'DEF  ', 29358, 'ABC  ')
(35546, 'DEF  ', 84380, 'ABC  ')
(18909, 'DEF  ', 19208, 'ABC  ')
(32508, 'ABC  ', 56956, 'DEF  ')
(84098, 'ABC  ', 28565, 'DEF  ')
(61904, 'ABC  ', 55707, 'DEF  ')
(76252, 'DEF  ', 80673, 'ABC  ')
(13516, 'ABC  ', 28565, 'DEF  ')
(38632, 'ABC  ', 28690, 'DEF  ')
(93538, 'DEF  ', 35867, 'ABC  ')
(13779, 'DEF  ', 40065, 'ABC  ')
(72724, 'DEF  ', 72925, 'ABC  ')
(77531, 'ABC  ', 92233, 'DEF  ')
(57625, 'DEF  ', 97863, 'ABC  ')
(98980, 'DEF  ', 70873, 'ABC  ')
(73015, 'DEF  ', 93590, 'ABC  ')
(19518, 'DEF  ', 70595, 'ABC  ')
(26175, 'ABC  ', 87587, 'DEF  ')
(36171, 'DEF  ', 67757, 'ABC  ')
(16350, 'ABC  ', 18888, 'DEF  ')
(65085, 'DEF  ', 37812, 'ABC  ')
(60070, 'DEF  ', 59974, 'ABC  ')
(17486, 'DEF  ', 63048, 'ABC  ')
(64193, 'ABC  ', 18553, 'DEF  ')
(96862, 'ABC  ', 56956, 'DEF  ')
(72893, 'DEF  ', 74193, 'ABC  ')
(70637, 'ABC  ', 43756, 'DEF  ')
(73358, 'DEF  ', 81522, 'ABC  ')
(40722, 'DEF  ', 42698, 'ABC  ')
(56956, 'ABC  ', 28947, 'DEF  ')
(35007, 'DEF  ', 75362, 'ABC  ')
(42879, 'ABC  ', 32090, 'DEF  ')
(98980, 'DEF  ', 64218, 'ABC  ')
(11830, 'ABC  ', 31725, 'DEF  ')
(89604, 'ABC  ', 85674, 'DEF  ')
(42054, 'DEF  ', 74879, 'ABC  ')
(66993, 'DEF  ', 18662, 'ABC  ')
(58522, 'DEF  ', 23267, 'ABC  ')
(60339, 'DEF  ', 33482, 'ABC  ')
(93538, 'DEF  ', 72593, 'ABC  ')
(73107, 'DEF  ', 19841, 'ABC  ')
(75993, 'ABC  ', 36824, 'DEF  ')
(45859, 'ABC  ', 51747, 'DEF  ')
(82738, 'ABC  ', 67422, 'DEF  ')
(74537, 'DEF  ', 61679, 'ABC  ')
(74740, 'DEF  ', 58269, 'ABC  ')
(10919, 'ABC  ', 34391, 'DEF  ')
(35271, 'ABC  ', 53619, 'DEF  ')
(56956, 'ABC  ', 98709, 'DEF  ')
(71298, 'DEF  ', 81650, 'ABC  ')
(84728, 'ABC  ', 28980, 'DEF  ')
(95130, 'ABC  ', 24086, 'DEF  ')
(46429, 'DEF  ', 65055, 'ABC  ')
(11329, 'ABC  ', 21880, 'DEF  ')
(51921, 'ABC  ', 67849, 'DEF  ')
(62904, 'ABC  ', 93977, 'DEF  ')
(42054, 'DEF  ', 92946, 'ABC  ')
(30853, 'ABC  ', 53432, 'DEF  ')
(28548, 'ABC  ', 27287, 'DEF  ')
(60070, 'DEF  ', 10463, 'ABC  ')
(53700, 'DEF  ', 88689, 'ABC  ')
(99092, 'DEF  ', 51810, 'ABC  ')
(37812, 'ABC  ', 29525, 'DEF  ')
(70538, 'ABC  ', 69926, 'DEF  ')
(22684, 'DEF  ', 55348, 'ABC  ')
(49652, 'DEF  ', 96529, 'ABC  ')
(21564, 'ABC  ', 34952, 'DEF  ')
(83922, 'ABC  ', 19813, 'DEF  ')
(98700, 'ABC  ', 87716, 'DEF  ')
(72222, 'DEF  ', 60725, 'ABC  ')
(83318, 'ABC  ', 68364, 'DEF  ')
(73398, 'DEF  ', 52082, 'ABC  ')
(88382, 'DEF  ', 87889, 'ABC  ')
(46672, 'DEF  ', 83408, 'ABC  ')
(94915, 'ABC  ', 88384, 'DEF  ')
(80809, 'DEF  ', 44939, 'ABC  ')
(54888, 'ABC  ', 97325, 'DEF  ')
(11830, 'ABC  ', 15809, 'DEF  ')
(88067, 'ABC  ', 79967, 'DEF  ')
(14216, 'DEF  ', 13508, 'ABC  ')
(26175, 'ABC  ', 80785, 'DEF  ')
(36514, 'DEF  ', 26448, 'ABC  ')
(86488, 'DEF  ', 94966, 'ABC  ')
(56187, 'ABC  ', 43317, 'DEF  ')
(53928, 'DEF  ', 42219, 'ABC  ')
(84314, 'ABC  ', 24301, 'DEF  ')
(42879, 'ABC  ', 63603, 'DEF  ')
(92499, 'DEF  ', 52256, 'ABC  ')
(32482, 'DEF  ', 27807, 'ABC  ')
(67849, 'DEF  ', 51921, 'ABC  ')
(15622, 'ABC  ', 43059, 'DEF  ')
(75615, 'ABC  ', 90336, 'DEF  ')
(17840, 'DEF  ', 53106, 'ABC  ')
(51162, 'DEF  ', 11159, 'ABC  ')
(92233, 'DEF  ', 59886, 'ABC  ')
(50378, 'ABC  ', 80174, 'DEF  ')
(23582, 'ABC  ', 36037, 'DEF  ')
(10287, 'DEF  ', 67016, 'ABC  ')
(11627, 'ABC  ', 60099, 'DEF  ')
(55364, 'ABC  ', 65930, 'DEF  ')
(49415, 'ABC  ', 52410, 'DEF  ')
(98471, 'ABC  ', 39999, 'DEF  ')
(51810, 'ABC  ', 59230, 'DEF  ')
(82225, 'DEF  ', 94055, 'ABC  ')
(22110, 'ABC  ', 10287, 'DEF  ')
(14821, 'ABC  ', 25874, 'DEF  ')
(43508, 'DEF  ', 94719, 'ABC  ')
(49988, 'DEF  ', 50669, 'ABC  ')
(41038, 'ABC  ', 22684, 'DEF  ')
(53428, 'ABC  ', 93673, 'DEF  ')
(74174, 'DEF  ', 59137, 'ABC  ')
(52082, 'ABC  ', 73398, 'DEF  ')
(53700, 'DEF  ', 11759, 'ABC  ')
(18553, 'ABC  ', 32992, 'DEF  ')
(65055, 'ABC  ', 45746, 'DEF  ')
(26592, 'ABC  ', 55231, 'DEF  ')
(10229, 'DEF  ', 64761, 'ABC  ')
(26153, 'DEF  ', 10287, 'ABC  ')
(92912, 'DEF  ', 74837, 'ABC  ')
(61679, 'ABC  ', 74537, 'DEF  ')
(76014, 'ABC  ', 42054, 'DEF  ')
(57572, 'DEF  ', 89604, 'ABC  ')
(36037, 'DEF  ', 21217, 'ABC  ')
(92345, 'DEF  ', 50925, 'ABC  ')
(26090, 'DEF  ', 84103, 'ABC  ')
(74879, 'ABC  ', 42054, 'DEF  ')
(39376, 'ABC  ', 25949, 'DEF  ')
(19813, 'DEF  ', 72055, 'ABC  ')
(11751, 'ABC  ', 41489, 'DEF  ')
(52256, 'ABC  ', 92499, 'DEF  ')
(67016, 'ABC  ', 10287, 'DEF  ')
(85674, 'DEF  ', 80995, 'ABC  ')
(76609, 'DEF  ', 14556, 'ABC  ')
(70417, 'DEF  ', 47499, 'ABC  ')
(80174, 'DEF  ', 94612, 'ABC  ')
(34952, 'DEF  ', 61054, 'ABC  ')
(19971, 'DEF  ', 59714, 'ABC  ')
(26665, 'ABC  ', 51747, 'DEF  ')
(56335, 'DEF  ', 34807, 'ABC  ')
(22684, 'DEF  ', 75084, 'ABC  ')
(32090, 'DEF  ', 42879, 'ABC  ')
(43317, 'DEF  ', 56187, 'ABC  ')
(33006, 'ABC  ', 84157, 'DEF  ')
(35007, 'DEF  ', 58682, 'ABC  ')
(17840, 'DEF  ', 68627, 'ABC  ')
(90041, 'DEF  ', 62373, 'ABC  ')
(10882, 'DEF  ', 53991, 'ABC  ')
(26592, 'ABC  ', 44227, 'DEF  ')
(75066, 'ABC  ', 79967, 'DEF  ')
(51162, 'DEF  ', 30688, 'ABC  ')
(44227, 'ABC  ', 55231, 'DEF  ')
(71052, 'DEF  ', 70637, 'ABC  ')
(82588, 'ABC  ', 10882, 'DEF  ')
(53975, 'DEF  ', 28947, 'ABC  ')
(40166, 'DEF  ', 66670, 'ABC  ')
(90041, 'DEF  ', 99653, 'ABC  ')
(40773, 'ABC  ', 98249, 'DEF  ')
(54504, 'DEF  ', 89857, 'ABC  ')
(93977, 'DEF  ', 58508, 'ABC  ')
(59230, 'DEF  ', 51810, 'ABC  ')
(66670, 'ABC  ', 50879, 'DEF  ')
(95243, 'DEF  ', 66058, 'ABC  ')
(66058, 'ABC  ', 95161, 'DEF  ')
(56956, 'DEF  ', 92079, 'ABC  ')
(77358, 'ABC  ', 55231, 'DEF  ')
(66177, 'DEF  ', 81650, 'ABC  ')
(82461, 'ABC  ', 79967, 'DEF  ')
(83408, 'ABC  ', 46672, 'DEF  ')
(29525, 'DEF  ', 65085, 'ABC  ')
(27058, 'DEF  ', 96231, 'ABC  ')
(91564, 'ABC  ', 72055, 'DEF  ')
(99147, 'ABC  ', 20407, 'DEF  ')
(51682, 'ABC  ', 83350, 'DEF  ')
(76252, 'DEF  ', 11280, 'ABC  ')
(35539, 'DEF  ', 99446, 'ABC  ')
(39025, 'DEF  ', 83408, 'ABC  ')
(97732, 'DEF  ', 82738, 'ABC  ')
(44984, 'ABC  ', 91828, 'DEF  ')
(10355, 'DEF  ', 42879, 'ABC  ')
(77150, 'ABC  ', 32755, 'DEF  ')
(74598, 'ABC  ', 76817, 'DEF  ')
(86488, 'ABC  ', 60099, 'DEF  ')
(60725, 'ABC  ', 72222, 'DEF  ')
(53470, 'ABC  ', 68968, 'DEF  ')
(79967, 'DEF  ', 95633, 'ABC  ')
(76252, 'DEF  ', 82232, 'ABC  ')
(90564, 'ABC  ', 28947, 'DEF  ')
(91013, 'ABC  ', 80995, 'DEF  ')
(10287, 'ABC  ', 26153, 'DEF  ')
(39670, 'DEF  ', 37457, 'ABC  ')
(21217, 'ABC  ', 36037, 'DEF  ')
(53432, 'DEF  ', 10203, 'ABC  ')
(45685, 'ABC  ', 91828, 'DEF  ')
(15854, 'DEF  ', 50669, 'ABC  ')
(83408, 'ABC  ', 39025, 'DEF  ')
(50879, 'DEF  ', 66670, 'ABC  ')
(71217, 'ABC  ', 36037, 'DEF  ')
(59055, 'DEF  ', 98471, 'ABC  ')
(80380, 'DEF  ', 49604, 'ABC  ')
(77358, 'ABC  ', 44227, 'DEF  ')
(58508, 'ABC  ', 93977, 'DEF  ')
(53186, 'ABC  ', 31437, 'DEF  ')
(53370, 'DEF  ', 74537, 'ABC  ')
(28117, 'ABC  ', 63190, 'DEF  ')
(10895, 'ABC  ', 92684, 'DEF  ')
(34391, 'DEF  ', 88560, 'ABC  ')
(92946, 'ABC  ', 42054, 'DEF  ')
(74595, 'DEF  ', 99320, 'ABC  ')
(56508, 'ABC  ', 90804, 'DEF  ')
(19971, 'DEF  ', 83514, 'ABC  ')
(94033, 'ABC  ', 26090, 'DEF  ')
(28359, 'DEF  ', 44335, 'ABC  ')
(86246, 'DEF  ', 48219, 'ABC  ')
(11830, 'ABC  ', 21915, 'DEF  ')
(15814, 'DEF  ', 81522, 'ABC  ')
(88874, 'DEF  ', 56250, 'ABC  ')
(10938, 'ABC  ', 29212, 'DEF  ')
(91057, 'ABC  ', 41784, 'DEF  ')
(36824, 'DEF  ', 75993, 'ABC  ')
(87249, 'ABC  ', 16623, 'DEF  ')
(24449, 'ABC  ', 60339, 'DEF  ')
(70637, 'ABC  ', 71052, 'DEF  ')
(76667, 'ABC  ', 54569, 'DEF  ')
